"tApag"	"nApag"	"rhoApag"
8280	3.55071003474129	-0.00285776605419206
8280.1	3.54835809093598	0.00155277014055701
8280.2	3.54615435180443	0.000774569627435179
8280.3	3.54545199052352	0.000129000478649207
8280.4	3.55231773345481	0.000138588164837794
8280.5	3.56398079800459	0.00215682326971939
8280.6	3.53787422188004	0.00399137716112969
8280.7	3.51303061098558	-0.0033766415349868
8280.8	3.52295710032975	-0.00905719811597442
8280.9	3.52355958443917	-0.00624474411644919
8281	3.52418784326882	-0.00588212475669779
8281.1	3.53192026012436	-0.00530049631118804
8281.2	3.54839997485862	-0.00270688353990698
8281.3	3.54513625012968	0.00124028615571996
8281.4	3.54715956613129	0.000391048497829592
8281.5	3.53398545990778	0.000369152162775794
8281.6	3.52270257492041	-0.00329680372773518
8281.7	3.5194871784566	-0.00609932015639988
8281.8	3.5165424166796	-0.00680559721077616
8281.9	3.53330565147278	-0.00676623103552606
8282	3.53549005931425	-0.00237120253661642
8282.1	3.52422972718962	-0.00220864461801387
8282.2	3.53261295593628	-0.00469068171318088
8282.3	3.5608523903354	-0.00156937590639911
8282.4	3.55504018918173	0.00508917093631848
8282.5	3.53182360488094	0.00263522733975654
8282.6	3.53307367899069	-0.00313991926928396
8282.7	3.53729751184666	-0.00260118378335753
8282.8	3.53124045172345	-0.00170944104196203
8282.9	3.53455894739645	-0.00306372476237103
8283	3.54930209047014	-0.0016801188455988
8283.1	3.56136144111581	0.00233766909494576
8283.2	3.55107410277542	0.00477404798875731
8283.3	3.54446932913469	0.00183861362775302
8283.4	3.53883755162004	-4.72711310514465e-05
8283.5	3.53850892389806	-0.00144454909365798
8283.6	3.53850248025265	-0.00148234417925944
8283.7	3.54881559231135	-0.00109843575667557
8283.8	3.54715312245123	0.00138189398152394
8283.9	3.54904756490859	0.000961823352896355
8284	3.52887239908057	0.000690837843581531
8284.1	3.53237776141974	-0.00417334859028803
8284.2	3.54248467524475	-0.00282046862163291
8284.3	3.53746182583032	-0.000430497066302362
8284.4	3.5288111840746	-0.00196639383323261
8284.5	3.54064178247468	-0.00364617237049573
8284.6	3.53935304630613	-0.000679227586598433
8284.7	3.53209423953331	-0.00125329885114616
8284.8	3.55017198733672	-0.0024133325802922
8284.9	3.54729166164054	0.00196303218596851
8285	3.53374059994773	0.000691007059854697
8285.1	3.53381148039657	-0.00267628402717862
8285.2	3.52690385464508	-0.00281108694879499
8285.3	3.51758629278344	-0.00474647706767428
8285.4	3.53255818453003	-0.00639581773210154
8285.5	3.54431145890858	-0.00210773301121384
8285.6	3.54217537852704	0.000715019557969925
8285.7	3.54120882632454	7.40853382177176e-05
8285.8	3.54203361753717	-0.000185275910030123
8285.9	3.53426575990259	-0.000279169628251789
8286	3.54323858609955	-0.00190519989187002
8286.1	3.55500152688727	0.000724571980948457
8286.2	3.54665373712687	0.00323945922723643
8286.3	3.53327987681694	0.00060574773970088
8286.4	3.52198732639125	-0.00308682677650667
8286.5	3.53485857870183	-0.00532986790901715
8286.6	3.55027508626086	-0.00146141889797435
8286.7	3.55201165849082	0.00237440108589612
8286.8	3.54439844859728	0.00240851915897012
8286.9	3.54279075008671	0.000381032938637118
8287	3.54768472618703	0.000121677244107909
8287.1	3.56077506604981	0.00173393004166415
8287.2	3.55316507754988	0.00457122796757589
8287.3	3.54313226520004	0.00220588489471954
8287.4	3.54193051862469	-0.000357626438088916
8287.5	3.53532574545905	-0.000850014245571777
8287.6	3.53564148581895	-0.00242011489835389
8287.7	3.53577035944405	-0.00224638181083649
8287.8	3.52418462144033	-0.00252908555901485
8287.9	3.52561189665724	-0.00525262254644431
8288	3.52372712011573	-0.00478489247666874
8288.1	3.52040218102612	-0.00521552086804635
8288.2	3.51679694195524	-0.00600533642062675
8288.3	3.51758307093749	-0.00669638877890359
8288.4	3.50544962196286	-0.00672065875099911
8288.5	3.50756314875472	-0.00948369730298361
8288.6	3.5185979505774	-0.00830290699377508
8288.7	3.52954576369409	-0.00497761488465155
8288.8	3.53486180039379	-0.00202175640907785
8288.9	3.5259179715343	-0.00105196190342642
8289	3.52716160199361	-0.00326570897775366
8289.1	3.5379161052428	-0.00255806652807762
8289.2	3.53078617222781	-0.000148055515828283
