"tT"	"nT"	"rhoT"
150	0.353826955244073	-0.00724554452013521
150.1	0.353988044623977	-0.00848898949102557
150.2	0.357377365219974	-0.00670405151297616
150.3	0.360454172435143	0.00274014326500932
150.4	0.358147372464516	0.00911640466212926
150.5	0.35769632219295	0.00300272875380059
150.6	0.358727294244749	0.00208552746489029
150.7	0.354886923375632	0.00316406582376451
150.8	0.357196945115257	-0.0055527270939865
150.9	0.361162965724429	0.00157940826528834
151	0.362909174654687	0.011520357185632
151.1	0.358092602081562	0.0135547379052529
151.2	0.355199436771029	0.00059978277529293
151.3	0.353395235703718	-0.00703794396352778
151.4	0.359152570217019	-0.0092590696591588
151.5	0.353865616707091	0.00333859615839233
151.6	0.349609635276127	-0.0111495604857482
151.7	0.350192778828837	-0.02121504365912
151.8	0.354751608299396	-0.0174419866129871
151.9	0.360128771879655	-0.00376545078718135
152	0.356652462995271	0.00803141683563496
152.1	0.360086888643032	0.000354637782132935
152.2	0.362709423818732	0.00934997991635822
152.3	0.357638330017801	0.0134213884605202
152.4	0.351497602809517	-0.00127575141334461
152.5	0.354838596565706	-0.015232295825576
152.6	0.357879964088892	-0.00535770307171356
152.7	0.359352321051057	0.00266010591627402
152.8	0.358044275260199	0.00557263331509856
152.9	0.356049988707746	0.00148673787401074
153	0.351761789387032	-0.00488330324299115
153.1	0.35724527192736	-0.0134775147099937
153.2	0.359912912106976	0.00135546016272092
153.3	0.353085944102877	0.00535197547050163
153.4	0.350115455932165	-0.0125606321852861
153.5	0.359210562400945	-0.0164753230742048
153.6	0.36314436515696	0.00767767895447352
153.7	0.361362716563464	0.0159526260278878
153.8	0.360093332215012	0.0106383518276102
153.9	0.356465599322825	0.00598860301746027
154	0.353952604962551	-0.00381973422442209
154.1	0.357979839507066	-0.00846729491933683
154.2	0.360560491432016	0.00253379373687478
154.3	0.362802855660096	0.00930758725384373
154.4	0.363820940575353	0.0145401701413028
154.5	0.362664318789669	0.0159787231053311
154.6	0.359410313229355	0.0116233367912321
154.7	0.358633862401396	0.00326681799583581
154.8	0.361469035556708	0.00231331837637993
154.9	0.364839025492644	0.0101828791383011
155	0.356259404935568	0.0149571340329328
155.1	0.344789841092599	-0.00985032977337419
155.2	0.353350130695667	-0.0354773618883712
155.3	0.359642281940578	-0.0101404364630885
155.4	0.36221649029909	0.00633977967705231
155.5	0.358994702621573	0.0110517520053412
155.6	0.366414479695488	0.00536582733143815
155.7	0.366211507066077	0.0224974158354416
155.8	0.357786532257322	0.0184291243825084
155.9	0.350891906737048	-0.00444735406774788
156	0.352096855297958	-0.02081761174473
156.1	0.352180621777705	-0.0168701436340979
156.2	0.350418303962246	-0.0166069733925729
156.3	0.354474534554692	-0.0190768281471252
156.4	0.349532312381397	-0.00999247918140479
156.5	0.342779445675915	-0.0244184340937098
156.6	0.345034696946957	-0.0403464064554824
156.7	0.351143206169568	-0.0309763358780653
156.8	0.354203904395005	-0.0134726254964029
156.9	0.35772854007267	-0.00452287013666255
157	0.360753798689235	0.00490232160291001
157.1	0.358482438385408	0.0108983914484705
157.2	0.352808870359019	0.00296012383271307
157.3	0.354593740699002	-0.0105680157712566
157.4	0.358975371893555	-0.00440654312077578
157.5	0.357738205435337	0.00581723039494163
157.6	0.35275732175621	0.000818419423713098
157.7	0.349377666573134	-0.0126639077490179
157.8	0.351558816781979	-0.0200108130174084
157.9	0.362532225499821	-0.0101651083457432
158	0.357863855168837	0.014996344727211
158.1	0.351230194432878	0.000926229012605437
158.2	0.356417272502034	-0.013781492772825
158.3	0.360318857352552	0.000741690092786343
158.4	0.357654438958299	0.00905905919826109
158.5	0.35191643519141	0.000305508314586214
158.6	0.358939932243681	-0.0115012783962017
158.7	0.363199135547655	0.00743189750964628
158.8	0.364816472979229	0.0176321506109399
158.9	0.358727294247136	0.018655927689056
159	0.356649241206753	0.00286238630321826
159.1	0.358988259047855	-0.00143988806287435
159.2	0.356285179219474	0.00340556881753002
159.3	0.351839112290593	-0.00472907593461132
159.4	0.356774890926237	-0.0138423640075689
159.5	0.352415812275896	-0.00261435650619438
159.6	0.345337544978567	-0.0156887215413355
159.7	0.344838167910356	-0.0333480044723396
159.8	0.352873306110525	-0.0306848837025465
159.9	0.352708994943155	-0.00937883241278882
160	0.360215760152434	-0.00715128223187332
160.1	0.36285440426317	0.0119252927778159
160.2	0.360641036120265	0.0167208234779166
160.3	0.363179804826143	0.0115521267449045
160.4	0.362380801476559	0.0167384970310881
160.5	0.35554416805503	0.0119408449937099
160.6	0.349332561546794	-0.00699230003426161
160.7	0.351903548043142	-0.0212972702100195
160.8	0.345408424300336	-0.0161945951947783
160.9	0.350051020175792	-0.0306010164374273
161	0.348398243149047	-0.0182352130711291
161.1	0.348320920248495	-0.0219455940057925
161.2	0.356198190945182	-0.0188302661112799
161.3	0.35892060150321	0.00207904232864756
161.4	0.358273022183924	0.00805389777276387
161.5	0.358427667990534	0.00602078512122619
161.6	0.359194453456847	0.00625044607516356
161.7	0.363737174094674	0.00922468390755559
161.8	0.357873520520858	0.0175511440353221
161.9	0.352225726801654	0.00104250416565411
162	0.353946161385314	-0.0122649746204918
162.1	0.352692886005498	-0.00795383197739214
162.2	0.351478272079299	-0.0112116892079314
162.3	0.352006645244855	-0.0137046192961694
162.4	0.350946677124875	-0.0123233573985571
162.5	0.35213229496046	-0.0142336325618398
162.6	0.353121383755691	-0.0105512053587019
162.7	0.351478272078109	-0.008429558242089
162.8	0.354603406060862	-0.0113184242391151
162.9	0.352815313935408	-0.00395075951236823
163	0.343762090881057	-0.0114546215930702
163.1	0.339815401171641	-0.035633745420453
163.2	0.347280282875328	-0.0422834141835737
163.3	0.351036887177412	-0.0201784506747015
163.4	0.352009867032048	-0.00997903417860343
163.5	0.348201714113201	-0.00884043181763397
163.6	0.349657962108417	-0.0179047300682312
163.7	0.361581798128897	-0.00980340935416728
163.8	0.35954562832115	0.018414251342794
163.9	0.350092903425176	0.00946090105938215
164	0.344863942206251	-0.0160021248377899
164.1	0.354229678706938	-0.0256540516042513
164.2	0.358024944534035	-5.77975472575677e-05
164.3	0.353453227887442	0.00733859063755821
164.4	0.350022024090035	-0.00542161007204484
164.5	0.356130533398178	-0.0118369796713814
164.6	0.35696175460928	0.00375961738265233
164.7	0.356945645671561	0.00542076220139048
164.8	0.3536497569269	0.00391452661964827
164.9	0.3527669871216	-0.00468624550800149
165	0.354919141246909	-0.00605819875541251
165.1	0.354062145739439	-0.000944854099963608
165.2	0.353994488199423	-0.00315395223988913
165.3	0.349574195615987	-0.00480262708004219
165.4	0.352212839658089	-0.0148346741323298
165.5	0.358585535587436	-0.00564527582572362
165.6	0.361517362371563	0.0108535196608023
165.7	0.362516116555325	0.0175315928265365
165.8	0.363911150631626	0.0195415646942254
165.9	0.365422169069305	0.0224825064517247
166	0.362322809299198	0.024107765871241
166.1	0.353907499938245	0.0132853753563232
166.2	0.34988026543428	-0.00871342088622023
166.3	0.347090197399405	-0.0192334374687001
166.4	0.348504562140677	-0.0250279163270238
166.5	0.340772272062603	-0.0231006744271098
